GTIN,Manufacturer Name,Brand,Volume,Volume Code,namePublicLong,namePublicShort,functionalName,typePackaging,useableUnits,ratioAlcohol,packagingInformationList,countryOfOriginList,kind,varietalDesignationList,productbenefits,vineyardRegion,vintage
00087872683302,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Rosso Royale Semi-Sweet Red Wine 750 ml,"Stella Rosa Semi-Sweet Royale was born from rich, ripe grapes grown in the sun-drenched hills of Piemonte, Italy. Hand selected premium Barbera, Brachetto and Nebbiolo varietals to create a semi-sweet wine with the perfect blend of bold character, complexity, and balance. Stella Royale was created to be served chilled and at 8% ABV is the perfect wine to serve with casual foods like pizza, noodle dishes, cured meat and cheese assortments.",,PACK,12,8.0,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872633864,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Red Apple Semi-Sweet White Wine 750 ml,"Born from the beautiful hillside vineyards of the Piedmont region of Northern Italy, Stella Rosa Red Apple is crafted in the small village of Santo Stefano Belbo. The Riboli Family has created this special blend of several aromatic grape varietals including Moscato Canelli. The Riboli family uses this technique to capture the natural flavors of ripe red apples. The alcohol level stays at approximately 5.5% and contains 10% residual sugar. Its natural acidity and low pH strike the perfect balance with the wine’s inherent sweetness. It is not cloying or heavy.",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other White,,Piedmont,2023.0
00087872630412,San Antonio Winery Inc.,San Antonio,750.0,mL,San Antonio Lambrusco Red Wine 750ml,"San Antonio Lambrusco is crafted in the classic style from the region with a hint of natural sweetness. Therefore, it remains dry enough to compliment many cuisines. It is medium-bodied with fine effervescence. The intense ruby-red color and violet reflection accentuate the natural characteristics of cherry and strawberry on the palate.",,PACK,12,7.5,,USA,"Wine, champagne & sparkling wine",Lambrusco,,California,2023.0
00087872638715,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Rose V.S. Prosecco Rose Sparkling Wine DOC 750 ml,"Stella Rosa Rose V.S. Prosecco D.O.C starts with specially selected grapes grown in the beautiful vineyards of the Veneto Region in Italy. This area has a very special microclimate characterized by high-temperature variations between day and night during the summer. This environment is crucial to achieving perfect ripening of the grapes and give the wine a breathtaking structure and harmony, in which acidity and minerality are perfectly balanced. The bottles are hand-wrapped with a beautiful, shiny rose gold finish making it perfect for gifting. Imported from Italy.",,PACK,6,11.0,,USA,"Wine, champagne & sparkling wine",,,Piedmont,2023.0
00087872633635,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Golden Honey Peach Semi-Sweet White Wine 750 ml,"Stella Rosa Golden Honey Peach Semi-Sweet White Wine is a proprietary blend produced primarily from the Moscato grape with various other varietals. The Riboli family uses this technique to capture the fresh flavors of Peach and Honey. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other White,,Piedmont,2023.0
00087872632232,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Stella Pink Semi-Sweet Rose Wine 750 ml,"Stella Rosa Stella Pink Semi-Sweet Rose Wine is a propriety blend produced primarily from the Moscato grape with various other varietals. This blend results in a vibrant pink characteristic and flavors of strawberry and rose petals. Serve chilled by the glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail. 90 points Gold Medal Winner from Los Angeles International Wine Competition.",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872630931,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Blueberry Semi-Sweet Red Wine 750 ml,"Stella Rosa Blueberry Semi-Sweet Red Wine is a proprietary blend of several Italian red grape varietals. The wine is then combined with natural flavors of natural blueberry distillates and puree to create a delicious and refreshing experience. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail. 93 points Gold Medal Winner on Tastings.com!",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872683197,San Antonio Winery Inc.,Stella Rosa,250.0,mL,Stella Rosa Watermelon Semi-Sweet Rose Wine 2Pk/250 ml,"Stella Rosa Watermelon Semi-Sweet Rose Wine is a proprietary blend of several white grape varietals including White Moscato (an indigenous grape variety from Piedmont), and a touch of barbera for color. The wine has natural flavors of watermelon that are created using a distillation process of Italian fruits grown in southern Italy. Serve chilled by the glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872683159,San Antonio Winery Inc.,Stella Rosa,250.0,mL,Stella Rosa Blueberry Semi-Sweet Red Wine 2Pk/250 ml,"Stella Rosa Blueberry Semi-Sweet Red Wine is a proprietary blend of several Italian red grape varietals. The wine is then combined with natural flavors of natural blueberry distillates and puree to create a delicious and refreshing experience. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail. 90 point Gold Medal Winner on Tastings.com!",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872638401,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Pineapple Semi-Sweet White Wine 750 ml,"Stella Rosa Pineapple Semi-Sweet White Wine is a proprietary blend of several white grape varietals including White Moscato (an indigenous grape variety from Piedmont). The wine has natural flavors of Pineapple that are crafted using a natural distillation process. Serve chilled by the glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Other White,,Piedmont,2023.0
00087872638180,San Antonio Winery Inc.,Stella Rosa,187.0,mL,Stella Rosa Rosso Semi-Sweet Red Wine 2Pk/187 ml,"Stella Rosa Rosso Semi-Sweet Red Wine is a proprietary blend of several red grape varietals including Brachetto.The wine is then combined with all-natural flavors of strawberry and red berry to create a delicious and refreshing experience. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all natural, fruit-forward cocktail. 90 points Gold Medal Winner and Best Buy on Tastings.com",,PACK,12,5.5,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872634557,San Antonio Winery Inc.,Stella Rosa,1.5,L,Stella Rosa Strawberry Rose Semi-Sweet Rose Wine 1.5 L,"Stella Rosa Strawberry Rose is a proprietary blend of several red grape varietals including Brachetto. The wine is combined with the natural flavors of an off-dry Rose, bursting with mountain berries and rose petal flavors. The Riboli family uses this technique to create a refreshing wine, busting with fresh flavors. Serve chilled by the glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.",,PACK,6,6.5,,USA,"Wine, champagne & sparkling wine",Other Red,,Piedmont,2023.0
00087872683999,San Antonio Winery Inc.,Stella Rosa,250.0,mL,"Stella Rosa Fruit Burst Variety Pack: Black Cherry, Blueberry, and Tropical Mango 6pk/250 ml","Stellabrate the summer or gather friends and family around with this variety pack! This variety pack contains America's favorite semi-sweet, semi-sparkling wine that's 100% naturally flavored using real fruit distillates and world class Moscato D'Asti, Brachetto D'Acqui, and Barbera grapes. Ease to take to a party with single servings for one and all alike!",,PACK,6,5.0,,USA,"Wine, champagne & sparkling wine",,,Piedmont,2023.0
00087872684019,San Antonio Winery Inc.,Stella Rosa,250.0,mL,"Stella Rosa Tropical Splash Variety Pack: Watermelon, Pineapple, Grapefruit Semi-Sweet Italian Wine 6pk/250 ml","Stellabrate the summer or gather friends and family around with this variety pack! This variety pack contains America's favorite semi-sweet, semi-sparkling wine that's 100% naturally flavored using real fruit distillates and world class Moscato D'Asti, Brachetto D'Acqui, and Barbera grapes. Easy to take to a party with single servings for one and all alike!",,PACK,6,5.0,,USA,"Wine, champagne & sparkling wine",Other White,,Piedmont,2023.0
00087872630603,San Antonio Winery Inc.,Stella Rosa,750.0,mL,Stella Rosa Moscato Semi-Sweet White Wine 750 ml,"Stella Rosa Moscato Semi-Sweet White Wine is produced entirely of Muscat Canelli grapes from the region of Asti in Piedmont, Italy. The Riboli family uses this technique to capture the fresh flavors of pear and apple. Its natural acidity and low pH strike the perfect balance with the wine’s inherent sweetness. It is not cloying or heavy.  Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all natural, fruit-forward cocktail.",,PACK,12,5.0,,USA,"Wine, champagne & sparkling wine",Moscato,,Piedmont,2023.0
