GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
00088004039622,Sazerac Company Inc.,Parrot Bay,50.0,mL,Parrot Bay Pineapple Rum 50ml Plastic Bottle 90 Proof,PrBy Pnap Rum 50ml Plstc Btl 90Pf,Rum,EACH,1,45.0,,USA,Spirits
00088004052928,Sazerac Company Inc.,99 Brand,50.0,mL,99 Watermelon Liqueur 10 Pack 50ml 99 Proof,99 Wtm Lqr 10Pk 50ml 99Pf,Liqueur,PACK,10,49.5,,USA,Ports and liqueurs
00088544019351,Sazerac Company Inc.,Southern Comfort,750.0,mL,"Southern Comfort Original Whiskey, 750 mL Bottle, 42 Proof",Soco Org Wky 750ml 42Pf,Liqueur,EACH,1,21.0,,USA,Ports and liqueurs
00088004056704,Sazerac Company Inc.,Taaka,50.0,mL,Taaka Pink Lemonade Vodka 10 Pack 50ml 60 Proof,Taaka Pink Lmnde Vka 10Pk 50ml 60Pf,Vodka,PACK,10,30.0,,USA,Spirits
00088004039646,Sazerac Company Inc.,W.L. Weller,750.0,mL,Weller Single Barrel Kentucky Straight Bourbon Whiskey 750ml 90 Proof,Wllr SIB KY Srt Brbn Wky 750ml 90Pf,Whiskey-American,EACH,1,48.5,,USA,Spirits
00088004021344,Sazerac Company Inc.,Eagle Rare,750.0,mL,Eagle Rare 10 Year Kentucky Straight Bourbon Whiskey 750ml 90 Proof,ER 10 Year KY Srt Brbn 750ml 90Pf,Whiskey-American,EACH,1,45.0,,USA,Spirits
00088004036973,Sazerac Company Inc.,Parrot Bay,1.0,L,Parrot Bay Coconut Rum 1l 90 Proof,PrBy Coco Rum 1l 90Pf,Rum,EACH,1,45.0,,USA,Spirits
00086024008758,Sazerac Company Inc.,Margaritaville,1.0,L,Margaritaville Coconut Rum Bar 1l 42 Proof,Mvlle Coco Rum Bar 1l 42Pf,Rum,EACH,1,21.0,,USA,Spirits
00088004052935,Sazerac Company Inc.,99 Brand,50.0,mL,99 Apples Liqueur 10 Pack 50ml 99 Proof,99 Apple Lqr 10Pk 50ml 99Pf,Liqueur,PACK,10,49.5,,USA,Ports and liqueurs
00086024008840,Sazerac Company Inc.,Margaritaville,1.0,L,Margaritaville Spiced Rum Bar 1l 70 Proof,Mvlle Spiced Rum Bar 1l 70Pf,Rum,EACH,1,35.0,,USA,Spirits
00811538019545,Proximo Spirits Inc,Stranahan’s®,750.0,mL,Stranahan’s® Cask Strength Single Barrel American Whiskey 104 Proof - 750 ml,Stranahan’s® Cask Strength Single Barrel American Whiskey 104 Proof - 750 ml,,EACH,1,52.0,,USA,Whisky & Bourbon
00811538018234,Proximo Spirits Inc,Stranahan’s®,375.0,mL,Stranahan’s® Original American Whiskey 94 Proof - 375 ml,Stranahan’s® Original American Whiskey 94 Proof - 375 ml,,EACH,1,47.0,,USA,Whisky & Bourbon
00811538011983,Proximo Spirits Inc,Jose Cuervo®,100.0,mL,Jose Cuervo® Especial® Gold Tequila 80 Proof - 100 ml,Jose Cuervo® Especial® Gold Tequila 80 Proof - 100 ml,,EACH,1,40.0,,USA,"Vodka, gin, tequila"
00811538010801,Proximo Spirits Inc,Jose Cuervo®,1.0,L,Jose Cuervo® Especial® Gold Tequila 80 Proof - 1 L,Jose Cuervo® Especial® Gold Tequila 80 Proof - 1 L,,EACH,1,40.0,,USA,"Vodka, gin, tequila"
00811538010887,Proximo Spirits Inc,Jose Cuervo®,375.0,mL,Jose Cuervo® Especial® Gold Tequila 80 Proof - 375 ml,Jose Cuervo® Especial® Gold Tequila 80 Proof - 375 ml,,EACH,1,40.0,,USA,"Vodka, gin, tequila"
00811538011471,Proximo Spirits Inc,Reserva de la Familia® by Jose Cuervo,750.0,mL,Reserva de la Familia® by Jose Cuervo Platino Tequila Blanco 80 Proof - 750 ml,Reserva de la Familia® by Jose Cuervo Platino Tequila Blanco 80 Proof - 750 ml,,EACH,1,40.0,,USA,"Vodka, gin, tequila"
00811538011464,Proximo Spirits Inc,Reserva de la Familia® by Jose Cuervo,375.0,mL,Reserva de la Familia® by Jose Cuervo Platino Tequila Blanco 80 Proof - 375 ml,Reserva de la Familia® by Jose Cuervo Platino Tequila Blanco 80 Proof - 375 ml,,EACH,1,40.0,,USA,"Vodka, gin, tequila"
00811538010825,Proximo Spirits Inc,Jose Cuervo®,1.0,L,Jose Cuervo® Especial® Silver Tequila 80 Proof - 1 L,Jose Cuervo® Especial® Silver Tequila 80 Proof - 1 L,,EACH,1,40.0,,USA,"Vodka, gin, tequila"
00811538011990,Proximo Spirits Inc,Jose Cuervo®,100.0,mL,Jose Cuervo® Especial® Silver Tequila 80 Proof - 100 ml,Jose Cuervo® Especial® Silver Tequila 80 Proof - 100 ml,,EACH,1,40.0,,USA,"Vodka, gin, tequila"
00818844021163,Proximo Spirits Inc,Stranahan’s®,750.0,mL,Stranahan’s® Blue Peak American Whiskey 86 Proof - 750 ml,Stranahan’s® Blue Peak American Whiskey 86 Proof - 750 ml,,EACH,1,43.0,,USA,Whisky & Bourbon
00811538010931,Proximo Spirits Inc,Jose Cuervo®,200.0,mL,Jose Cuervo® Especial® Silver Tequila 80 Proof - 200 ml,Jose Cuervo® Especial® Silver Tequila 80 Proof - 200 ml,,EACH,1,40.0,,USA,"Vodka, gin, tequila"
00851756002219,Garrison Brothers Distillery,Garrison Brothers Distillery,375.0,mL,"Garrison Brothers Boot Flask Texas Straight Bourbon Whiskey, 375ml Bottle, 94 Proof",Garrison Brothers Boot Flask Bourbon Whiskey,,EACH,1,0.47,,USA,Whisky & Bourbon
00851756002523,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"Garrison Brothers Guadalupe® Texas Straight Bourbon Whiskey, 750ml Bottle, 107 Proof",Garrison Brothers Guadalupe® Bourbon Whiskey,,EACH,1,0.535,,USA,Whisky & Bourbon
00851756002240,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"2023 Garrison Brothers Cowboy Bourbon Texas Straight Bourbon Whiskey, 750ml Bottle, 140.9 Proof",Garrison Brothers Cowboy Bourbon® Whiskey,,EACH,1,0.7045,,USA,Whisky & Bourbon
00851756002189,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"Garrison Brothers Single Barrel Texas Straight Bourbon Whiskey, 750ml Bottle, 94 Proof",Garrison Brothers Single Barrel 94 Proof Bourbon Whiskey,,EACH,1,0.47,,USA,Whisky & Bourbon
00851756002424,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"Garrison Brothers Balmorhea Texas Straight Bourbon Whiskey, 750ml Bottle, 115 Proof",Garrison Brothers Balmorhea Bourbon Whiskey,,EACH,1,0.575,,USA,Whisky & Bourbon
00851756002455,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"Garrison Brothers HoneyDew Texas Straight Bourbon Whiskey Infused with Honey, 750ml Bottle, 80 Proof",Garrison Brothers HoneyDew Bourbon Whiskey,,EACH,1,0.4,,USA,Whisky & Bourbon
00851756002141,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"Garrison Brothers Small Batch Texas Straight Bourbon Whiskey, 750ml Bottle, 94 Proof",Garrison Brothers Small Batch Bourbon Whiskey,,EACH,1,0.47,,USA,Whisky & Bourbon
00851756002264,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"Garrison Brothers Single Barrel Texas Straight Bourbon Whiskey, 750ml Bottle, Cask Strength",Garrison Brothers Single Barrel Cask Strength Bourbon Whiskey,,EACH,1,0.63,,USA,Whisky & Bourbon
00851756002448,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"Garrison Brothers Laguna Madre Texas Straight Bourbon Whiskey, 750ml Bottle, 101 Proof",Garrison Brothers Laguna Madre Bourbon Whiskey,,EACH,1,0.505,,USA,Whisky & Bourbon
00851756002196,Garrison Brothers Distillery,Garrison Brothers Distillery,750.0,mL,"Garrison Brothers Single Barrel Sampler Texas Straight Bourbon Whiskey, 750ml Bottle, 94 Proof",Garrison Brothers Single Barrel Sampler Bourbon Whiskey,,EACH,1,0.47,,USA,Whisky & Bourbon
10632070101485,,Caorunn,750.0,mL,Caorunn Dry Gin Highland Strength 1 750 ML,Caorunn Dry Gin Highland Strength 1 750 ML,,EACH,6,54.0,,USA,"Vodka, gin, tequila"
10632070100150,,Caorunn,750.0,mL,Caorunn Dry Gin Small Batch 750 ML,Caorunn Dry Gin Small Batch 750 ML,,EACH,6,41.8,,USA,"Vodka, gin, tequila"
10872291280815,,Briottet,700.0,mL,Edmond Briottet Liqueur de Pamplemousse 700 ML,Edmond Briottet Liqueur de Pamplemousse 700 ML,,EACH,6,18.0,,USA,Ports and liqueurs
10632070100853,,anCnoc,750.0,mL,anCnoc Single Malt Scotch 18 YO 750 ML,anCnoc Single Malt Scotch 18 YO 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
10872291800105,,Old Potrero,700.0,mL,Old Potrero Straight Rye Whiskey Single Barrel Reserve 700 ML,Old Potrero Straight Rye Whiskey Single Barrel Reserve 700 ML,,EACH,6,64.95,,USA,Whisky & Bourbon
10632070100358,,Speyburn,1750.0,mL,Speyburn Bradan Orach 1.75L,Speyburn Bradan Orach 1.75L,,EACH,6,40.0,,USA,Whisky & Bourbon
10632070100068,,Speyburn,750.0,mL,Speyburn Single Malt Scotch Bradan Orach 750 ML,Speyburn Single Malt Scotch Bradan Orach 750 ML,,EACH,6,40.0,,USA,Whisky & Bourbon
10632070100112,,Speyburn,1750.0,mL,Speyburn 10 YO Scotch 1.75L,Speyburn 10 YO Scotch 1.75L,,EACH,6,40.0,,USA,Whisky & Bourbon
10872291310369,,Luxardo Rtd,1000.0,mL,Luxardo Aperitivo Spritz Italiano Sty 1000 ML,Luxardo Aperitivo Spritz Italiano Sty 1000 ML,,EACH,6,10.0,,USA,Spirits
10872291800341,,Old Potrero,700.0,mL,Old Potrero Single Barrel Sherry Finish 700 ML,Old Potrero Single Barrel Sherry Finish 700 ML,,EACH,6,63.23,,USA,Whisky & Bourbon
10632070100860,,anCnoc,750.0,mL,anCnoc Single Malt Scotch 24 YO 750 ML,anCnoc Single Malt Scotch 24 YO 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
23251370100444,,Hine,750.0,mL,Hine Domaine Bonneuil 2005 750 ML,Hine Domaine Bonneuil 2005 750 ML,,EACH,6,43.0,,USA,Spirits
10872291800273,,Old Potrero,700.0,mL,Old Potrero Single Barrel Port Finish 700 ML,Old Potrero Single Barrel Port Finish 700 ML,,EACH,6,65.6,,USA,Whisky & Bourbon
23760107311232,,Hine,750.0,mL,Hine Grande Champagne Cognac Domaines Hine Bonneuil 2008 750 ML,Hine Grande Champagne Cognac Domaines Hine Bonneuil 2008 750 ML,,EACH,6,42.7,,USA,Spirits
10632070100891,,anCnoc,750.0,mL,anCnoc Rascan Scotch 750 ML,anCnoc Rascan Scotch 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
10632070101157,,Speyburn,750.0,mL,Speyburn Single Malt Scotch 15 YO 750 ML,Speyburn Single Malt Scotch 15 YO 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
10872281918889,,Hine,750.0,mL,Hine Cognac Cigar Reserve Xo 750 ML,Hine Cognac Cigar Reserve Xo 750 ML,,EACH,6,40.0,,USA,Spirits
93251370100450,,Hine,750.0,mL,Hine 250 750 ML,Hine 250 750 ML,,EACH,1,41.7,,USA,Spirits
10632070101188,,Speyburn,750.0,mL,Speyburn Single Malt Scotch Companion Cask 750 ML,Speyburn Single Malt Scotch Companion Cask 750 ML,,EACH,6,46.0,,USA,Whisky & Bourbon
10087229191105,,Hine,750.0,mL,Hine Fine Champagne Cognac Homage 750 ML,Hine Fine Champagne Cognac Homage 750 ML,,EACH,6,40.0,,USA,Spirits
10872291280747,,Briottet,700.0,mL,Edmond Briottet Creme de Peche 700 ML,Edmond Briottet Creme de Peche 700 ML,,EACH,6,18.0,,USA,Ports and liqueurs
10087229191051,,Hine,750.0,mL,Hine Grande Champagne Cognac Xo Antique 750 ML,Hine Grande Champagne Cognac Xo Antique 750 ML,,EACH,6,40.0,,USA,Spirits
23760107311706,,Hine,750.0,mL,Hine Domaines Hine Bonneuil 2010 +Gift Box,Hine Domaines Hine Bonneuil 2010 +Gift Box,,EACH,6,42.1,,USA,Spirits
