GTIN,Manufacturer Name,Brand,Volume,Volume Code,Name Public Long,Name Public Short,Functional Name,Packaging Type Code,Useable Units,Ratio Alcohol,Packaging Information,Country of Origin,Alcohol Kind
00818844024942,Proximo Spirits Inc,Jose Cuervo®,1.5,L,Jose Cuervo® Caleta™ Margarita Wine Cocktail Classic Ready to Drink Cocktail - 1.5 L,Jose Cuervo® Caleta™ Margarita Wine Cocktail Classic Ready to Drink Cocktail - 1.5 L,,EACH,1,13.9,,USA,"Punch, Cocktail & Premix"
00818844026441,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Raspberry Colada Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Raspberry Colada Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844024386,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Tropical Paradise Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Tropical Paradise Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844022986,Proximo Spirits Inc,Jose Cuervo®,1.75,L,Jose Cuervo® Authentic Margarita Double Strength Ready to Drink Cocktail - 1.75 L,Jose Cuervo® Authentic Margarita Double Strength Ready to Drink Cocktail - 1.75 L,,EACH,1,20.0,,USA,"Punch, Cocktail & Premix"
00096749021918,Heaven Hill Distilleries,Evan Williams,1750.0,mL,"Evan Williams Nog, 1750 ml","Evan Williams Nog, 1750 ml",Sprits,EACH,1,15.0,,USA,"Punch, Cocktail & Premix"
00086036205602,Heaven Hill Distilleries,Christian Brothers,750.0,mL,"Christian Brothers Nog, 750 ml","Christian Brothers Nog, 750 ml",Sprits,EACH,1,10.0,,USA,"Punch, Cocktail & Premix"
00096749025336,Heaven Hill Distilleries,Evan Williams,750.0,mL,"Evan Williams Nog, 750 ml","Evan Williams Nog, 750 ml",Sprits,EACH,1,15.0,,USA,"Punch, Cocktail & Premix"
00818844026465,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Wild Berry Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Wild Berry Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844024911,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Passion Fruit Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Passion Fruit Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
00818844023174,Proximo Spirits Inc,1800®,1.75,L,1800® The Ultimate Margarita Mango Ready to Drink Cocktail - 1.75 L,1800® The Ultimate Margarita Mango Ready to Drink Cocktail - 1.75 L,,EACH,1,9.95,,USA,"Punch, Cocktail & Premix"
